"","X","effect_size","metric","column"
"1",0,0.479095937379079,"cohens_f","biome"
"2",1,0.422890392719799,"cohens_f","esp"
"3",2,0.340932778498912,"cohens_f","ece"
"4",0,0.534810273,"cohens_f","ref_6"
"5",1,0.494876195,"cohens_f","sand2_1"
"6",2,0.48400342,"cohens_f","sand2_2"
"7",3,0.483237225,"cohens_f","lon"
"8",4,0.478984779,"cohens_f","bio5"
"9",5,0.47260487,"cohens_f","silt2_1"
"10",6,0.471493999,"cohens_f","lat"
"11",7,0.454552655,"cohens_f","bio4"
"12",8,0.448717843,"cohens_f","bio7"
"13",9,0.447468335,"cohens_f","bio9"
"14",10,0.439704403,"cohens_f","ref_4"
"15",11,0.439484775,"cohens_f","bio25"
"16",12,0.436543288,"cohens_f","bio26"
"17",13,0.43033503,"cohens_f","rad"
"18",14,0.426173871,"cohens_f","bio17"
"19",15,0.423761168,"cohens_f","silt2_2"
"20",16,0.418574247,"cohens_f","shannon"
"21",17,0.410124345,"cohens_f","ocd2_2"
"22",18,0.409672956,"cohens_f","ref_2"
"23",19,0.402402309,"cohens_f","bio11"
"24",20,0.398819827,"cohens_f","bio2"
"25",21,0.398447091,"cohens_f","ref_7"
"26",22,0.388777367,"cohens_f","ref_3"
"27",23,0.383061204,"cohens_f","bio3"
"28",24,0.379775251,"cohens_f","ai_et0"
"29",25,0.378720957,"cohens_f","ref"
"30",26,0.377998464,"cohens_f","NDVImax"
"31",27,0.376454132,"cohens_f","cec2_2"
"32",28,0.376188892,"cohens_f","contrast"
"33",29,0.376061797,"cohens_f","bio19"
"34",30,0.374377461,"cohens_f","bio20"
"35",31,0.373913399,"cohens_f","bio24"
"36",32,0.37351445,"cohens_f","bio14"
"37",33,0.373228468,"cohens_f","homogeneity"
"38",34,0.371260073,"cohens_f","NDVImean"
"39",35,0.370347524,"cohens_f","bio23"
"40",36,0.367777453,"cohens_f","clay2_2"
"41",37,0.367499422,"cohens_f","bio18"
"42",38,0.365798665,"cohens_f","correlation"
"43",39,0.363088205,"cohens_f","clay2_1"
"44",40,0.355947243,"cohens_f","bio22"
"45",41,0.354827658,"cohens_f","simpson"
"46",42,0.353509605,"cohens_f","bio10"
"47",43,0.351980515,"cohens_f","bio6"
"48",44,0.351458868,"cohens_f","dissimilarity"
"49",45,0.350971958,"cohens_f","maximum"
"50",46,0.350857412,"cohens_f","variance"
"51",47,0.346670646,"cohens_f","std"
"52",48,0.344635113,"cohens_f","Nppmax"
"53",49,0.344400657,"cohens_f","cfvo2_1"
"54",50,0.339067355,"cohens_f","bio1"
"55",51,0.336615349,"cohens_f","range"
"56",52,0.334837947,"cohens_f","Gppmax"
"57",53,0.332335706,"cohens_f","ocs"
"58",54,0.330556316,"cohens_f","bio16"
"59",55,0.329504698,"cohens_f","soc2_1"
"60",56,0.324287339,"cohens_f","cec2_1"
"61",57,0.324187962,"cohens_f","evaporation"
"62",58,0.319098711,"cohens_f","bio13"
"63",59,0.317463748,"cohens_f","entropy"
"64",60,0.316764663,"cohens_f","EVImax"
"65",61,0.316759576,"cohens_f","ref_5"
"66",62,0.315904727,"cohens_f","uniformity"
"67",63,0.311077183,"cohens_f","Nppmean"
"68",64,0.301813187,"cohens_f","bio27"
"69",65,0.298802815,"cohens_f","bio8"
"70",66,0.298458116,"cohens_f","Gppmean"
"71",67,0.292181093,"cohens_f","dem"
"72",68,0.290582908,"cohens_f","bdod2_2"
"73",69,0.289816997,"cohens_f","bio12"
"74",70,0.285539759,"cohens_f","bio15"
"75",71,0.285054646,"cohens_f","ocd2_1"
"76",72,0.283896945,"cohens_f","evenness"
"77",73,0.281642898,"cohens_f","northness"
"78",74,0.274638096,"cohens_f","phh2o2_1"
"79",75,0.273907168,"cohens_f","phh2o2_2"
"80",76,0.272901957,"cohens_f","cv"
"81",77,0.258130574,"cohens_f","cfvo2_2"
"82",78,0.251462841,"cohens_f","EVImean"
"83",79,0.247725063,"cohens_f","soc2_2"
"84",80,0.245354429,"cohens_f","nitrogen2_2"
"85",81,0.244307259,"cohens_f","bdod2_1"
"86",82,0.228314207,"cohens_f","nitrogen2_1"
"87",83,0.144532317,"cohens_f","eastness"
"88",84,0.479095937,"cohens_f","biome"
"89",85,0.422890393,"cohens_f","esp"
"90",86,0.340932778,"cohens_f","ece"
